decoding,dropout,rate,dataset,mean_reward
greedy,None,0.0,emotion,0.02256154158793942
greedy,None,0.0,politeness,0.6017422801256179
greedy,None,0.0,sentiment,0.5055833263414922
greedy,None,0.0,topic,0.27729193675812047
greedy,None,0.0,toxicity,0.5045720340320091
greedy,quantile,0.8,emotion,0.04864924690040772
greedy,quantile,0.8,politeness,0.7153103882074356
greedy,quantile,0.8,sentiment,0.7348834302755867
greedy,quantile,0.8,topic,0.49624764992784487
greedy,quantile,0.8,toxicity,0.5207162388686049
greedy,quantile,0.9,emotion,0.06202315238484161
greedy,quantile,0.9,politeness,0.8337550050020218
greedy,quantile,0.9,sentiment,0.7799172936984808
greedy,quantile,0.9,topic,0.6092416310991942
greedy,quantile,0.9,toxicity,0.5286885820564695
greedy,quantile,0.95,emotion,0.06717802776154456
greedy,quantile,0.95,politeness,0.8826157015562057
greedy,quantile,0.95,sentiment,0.7775711999966366
greedy,quantile,0.95,topic,0.6879988176405697
greedy,quantile,0.95,toxicity,0.5624223532176565
greedy,random,0.8,emotion,0.024441773962360133
greedy,random,0.8,politeness,0.6414822140336036
greedy,random,0.8,sentiment,0.5122689530991091
greedy,random,0.8,topic,0.29830420690467535
greedy,random,0.8,toxicity,0.5131004954763184
greedy,random,0.9,emotion,0.025619272477597998
greedy,random,0.9,politeness,0.6519960594177245
greedy,random,0.9,sentiment,0.5132244958145784
greedy,random,0.9,topic,0.30185707554956187
greedy,random,0.9,toxicity,0.5130464569558443
greedy,random,0.95,emotion,0.024467040538550883
greedy,random,0.95,politeness,0.6629370459914208
greedy,random,0.95,sentiment,0.5136058617493894
greedy,random,0.95,topic,0.30430215064252436
greedy,random,0.95,toxicity,0.5124397968536177
stochastic,None,0.0,emotion,0.1029990304551463
stochastic,None,0.0,politeness,0.8957050490379336
stochastic,None,0.0,sentiment,0.6596940494704955
stochastic,None,0.0,topic,0.4886626711474406
stochastic,None,0.0,toxicity,0.7059214758718836
stochastic,quantile,0.8,emotion,0.14060777965361212
stochastic,quantile,0.8,politeness,0.9325444948673248
stochastic,quantile,0.8,sentiment,0.8212637305259705
stochastic,quantile,0.8,topic,0.6071588028172207
stochastic,quantile,0.8,toxicity,0.7408665720073655
stochastic,quantile,0.9,emotion,0.16639260973029749
stochastic,quantile,0.9,politeness,0.9500516808032988
stochastic,quantile,0.9,sentiment,0.8522740033003364
stochastic,quantile,0.9,topic,0.7121036496731733
stochastic,quantile,0.9,toxicity,0.7589024124645638
stochastic,quantile,0.95,emotion,0.19160478745930284
stochastic,quantile,0.95,politeness,0.9708339953422547
stochastic,quantile,0.95,sentiment,0.8540639778470049
stochastic,quantile,0.95,topic,0.7770052657132727
stochastic,quantile,0.95,toxicity,0.7849161855276974
stochastic,random,0.8,emotion,0.09553819495302279
stochastic,random,0.8,politeness,0.8909707617759705
stochastic,random,0.8,sentiment,0.6516713007251815
stochastic,random,0.8,topic,0.49982941177393825
stochastic,random,0.8,toxicity,0.718537277060336
stochastic,random,0.9,emotion,0.11010360247823159
stochastic,random,0.9,politeness,0.8936509144306184
stochastic,random,0.9,sentiment,0.6620972891255181
stochastic,random,0.9,topic,0.49387151153231945
stochastic,random,0.9,toxicity,0.699767873247807
stochastic,random,0.95,emotion,0.0886161109767527
stochastic,random,0.95,politeness,0.902523604631424
stochastic,random,0.95,sentiment,0.6538397451438526
stochastic,random,0.95,topic,0.49225264319924494
stochastic,random,0.95,toxicity,0.7065983724662628
top-k,None,0.0,emotion,0.08902750549257908
top-k,None,0.0,politeness,0.8642948317527771
top-k,None,0.0,sentiment,0.6765265573959539
top-k,None,0.0,topic,0.5003849335783265
top-k,None,0.0,toxicity,0.6708486786047961
top-k,quantile,0.8,emotion,0.11108953075630489
top-k,quantile,0.8,politeness,0.8920417654514313
top-k,quantile,0.8,sentiment,0.833295272275953
top-k,quantile,0.8,topic,0.6167422883179156
top-k,quantile,0.8,toxicity,0.7034864497167626
top-k,quantile,0.9,emotion,0.1287726584388956
top-k,quantile,0.9,politeness,0.9301864677667618
top-k,quantile,0.9,sentiment,0.8613400804524374
top-k,quantile,0.9,topic,0.7105007213728309
top-k,quantile,0.9,toxicity,0.7217638320450125
top-k,quantile,0.95,emotion,0.1451642915336905
top-k,quantile,0.95,politeness,0.963235878944397
top-k,quantile,0.95,sentiment,0.8575079668276381
top-k,quantile,0.95,topic,0.7696198356659423
top-k,quantile,0.95,toxicity,0.741035732472765
top-k,random,0.8,emotion,0.08859294575737099
top-k,random,0.8,politeness,0.87747887134552
top-k,random,0.8,sentiment,0.6693215045598474
top-k,random,0.8,topic,0.4967797627096219
top-k,random,0.8,toxicity,0.6653776826101473
top-k,random,0.9,emotion,0.09276902499167539
top-k,random,0.9,politeness,0.8759702330827714
top-k,random,0.9,sentiment,0.6719678913307663
top-k,random,0.9,topic,0.4934978848281462
top-k,random,0.9,toxicity,0.7042090787455955
top-k,random,0.95,emotion,0.08815226286625193
top-k,random,0.95,politeness,0.8750638902187349
top-k,random,0.95,sentiment,0.667874157133669
top-k,random,0.95,topic,0.49260557873901234
top-k,random,0.95,toxicity,0.6870161536010517
